# Mark up: <time>;<minutes since midnight>;<icon name>;<activity>;<color>
# The ";" are important for generating the overviews, therefor the ;
# Therefor the following characters should not be used for 
# the activity description:  ; " ' *  ? /  \ 
# 
# The schedule below is made with a 5 minute interval, however this is not
# limiting you to select a specific timeslot, for instance 17:23.
# If you want to use a specific timeslot, don't forget to calculate the correct value
# for the minutes since midnight, since that value is used by the program
# to walk through this schedule. By default the schedule starts at 5 am but that is
# not limiting you to scheduling activities before 5 am, just make sure to use the
# correct value for minutes since midnight. If wanted the program can be used for the full 24 hrs a day.
#
# The time value is currently in the 24hr format, 12hr is possible as well, the program can work with that.
# This file will be read every minute by the generating program, so a change to this
# active file (not the backup standard schedule) will be visible within 2 minutes of saving the change.
#
# Colors: R(ed),B(lue),G(reen),Y(ellow),P(urple),W(hite) .
# If no color is selected, white will be used. Make sure to use capital characters for the colors.
#
# Two activity values are important: "Getup" and "Time for bed". These 2 activities are used in the
# program to turn on and off screens that are compliant with this. Please remember to keep both
# activities with those set descriptions in the schedule.
05:00;300;;
05:05;305;;;
05:10;310;;;
05:15;315;;;
05:20;320;;;
05:25;325;;;
05:30;330;;;
05:35;335;;;
05:40;340;;;
05:45;345;;;
05:50;350;;;
05:55;355;;;
06:00;360;;;
06:05;365;;;
06:10;370;;;
06:15;375;;;
06:20;380;;;
06:25;385;;;
06:30;390;;;
06:35;395;;;
06:40;400;;;
06:45;405;;;
06:50;410;;;
06:55;415;;;
07:00;420;;;
07:05;425;;;
07:10;430;;;
07:15;435;;;
07:20;440;;;
07:25;445;;;
07:30;450;;;
07:35;455;;;
07:40;460;;;
07:45;465;;;
07:50;470;;;
07:55;475;;;
08:00;480;wake_up.png;Getup;
08:05;485;turn_clothes_on.png;Put on clothes;
08:10;490;bed_make_up.png;Make up your bed and open the window;G
08:15;495;room_clean_bedroom.png;Puck up the thrash from the floor, bring the dishes downstairs;G
08:20;500;recreation_time.png;Time for yourself;
08:25;505;;;
08:30;510;breakfast.png;Eating breakfast;
08:35;515;;;
08:40;520;;;
08:45;525;;;
08:50;530;;;
08:55;535;;;
09:00;540;;;
09:05;545;;;
09:10;550;;;
09:15;555;;;
